"Species","Area Harvested(acres)","Yield per acre(lbs.)","Production(000 lbs.)","Price($/cwt)","Value of production(000$)"
"Annual ryegrass",125920,2055,258765,41,106094
"Perennial ryegrass",63305,1635,103502,78,80732
"Tall fescue",155940,1710,266616,87,231956
"Kentucky bluegrass",24880,1109,27583,146,40271
"Rough bluegrass",1010,1142,1153,225,2594
"Orchard grass",15190,1046,15889,225,35750
"Chewings fescue",9140,1274,11642,103,11991
"Red fescue",10960,986,10810,105,11351
"Hard fescue",3100,1268,3932,130,5112
"Colonial bentgrass",1770,386,684,205,1402
"Creeping bentgrass",3440,644,2214,331,7328
